Date,Feed_Time,Feed_Amount,Sleep_Start,Sleep_End,Notes
10/11/2025,00:00,0,00:00,03:00,
10/11/2025,03:20,110,03:50,06:30,
10/11/2025,06:30,90,08:40,09:20,
10/11/2025,09:30,110,,,
10/11/2025,10:30,50,11:30,12:10,
10/11/2025,13:10,70,14:00,16:00,grumpy by 13:45
10/11/2025,16:10,70,17:45,18:20,
10/11/2025,18:50,80,,,
10/11/2025,19:30,20,,,
10/11/2025,20:30,60,20:45,00:00,sleepy by 20:30
11/11/2025,00:00,0,00:00,03:00,
11/11/2025,03:05,120,03:00,06:20,Stayed sleeping by 3
11/11/2025,06:20,60,06:30,08:30,
11/11/2025,08:30,60,09:50,10:30,
11/11/2025,10:50,110,11:50,12:25,
11/11/2025,13:25,130,14:15,16:30,
11/11/2025,16:30,120,18:15,18:55,
11/11/2025,19:10,60,,,
11/11/2025,19:45,40,,,
11/11/2025,19:55,90,20:40,00:00,
12/11/2025,00:00,0,00:00,02:30,
12/11/2025,02:30,120,02:50,04:40,
12/11/2025,04:45,60,04:50,07:45,
12/11/2025,08:00,120,09:50,10:30,
12/11/2025,10:40,110,12:35,13:20,
12/11/2025,13:20,120,14:15,15:30,
12/11/2025,16:00,120,18:00,19:20,very cranky and frustrated before sleeping
12/11/2025,19:20,100,,,
12/11/2025,20:25,80,20:30,00:00,
13/11/2025,00:00,0,00:00,01:20,
13/11/2025,01:20,100,01:40,07:30,
13/11/2025,05:00,120,,,
13/11/2025,08:40,110,09:50,10:20,
13/11/2025,11:00,120,12:10,13:10,
13/11/2025,13:30,60,14:30,16:10,
13/11/2025,16:15,120,17:30,18:50,
13/11/2025,19:05,100,20:30,21:30,
13/11/2025,21:30,60,21:50,00:00,
14/11/2025,00:00,0,00:00,00:30,
14/11/2025,00:30,110,00:40,04:00,
14/11/2025,04:00,60,05:00,07:00,
14/11/2025,07:00,60,08:50,09:20,
14/11/2025,10:00,70,11:00,11:50,
14/11/2025,12:30,100,13:20,14:20,
14/11/2025,15:05,110,16:05,16:45,
14/11/2025,17:20,110,19:00,19:10,
14/11/2025,19:20,40,,,
14/11/2025,20:00,80,20:40,00:00,
14/11/2025,23:00,120,,,
15/11/2025,03:10,105,00:00,06:30,
15/11/2025,05:30,10,06:30,07:10,
15/11/2025,06:30,40,09:25,10:10,
15/11/2025,10:15,90,,,
15/11/2025,11:40,30,11:55,12:35,
15/11/2025,12:45,120,14:30,15:00,
15/11/2025,15:10,115,16:50,18:30,
15/11/2025,18:20,100,,,
15/11/2025,20:00,70,21:00,00:00,
15/11/2025,22:40,110,,,
16/11/2025,00:00,0,00:00,02:40,
16/11/2025,02:40,60,04:00,07:00,
16/11/2025,07:00,95,09:00,10:40,
16/11/2025,10:45,110,,,
16/11/2025,12:45,75,13:00,13:40,
16/11/2025,14:40,80,15:10,15:40,
16/11/2025,16:20,60,16:50,19:00,
16/11/2025,18:10,120,,,
16/11/2025,20:45,90,21:00,00:00,
16/11/2025,23:00,40,,,
17/11/2025,00:00,0,00:00,01:20,
17/11/2025,01:20,100,01:20,03:40,was still sleeping
17/11/2025,03:40,70,03:40,07:40,
17/11/2025,05:10,50,,,
17/11/2025,06:40,30,,,
17/11/2025,08:45,80,09:40,10:30,
17/11/2025,11:10,100,12:30,12:50,
17/11/2025,13:45,100,14:25,15:00,
17/11/2025,16:15,100,16:35,18:15,
17/11/2025,18:30,40,,,
17/11/2025,19:10,80,21:00,00:00,
17/11/2025,22:15,120,,,
